,Raft,Cod,Autor1 prenume,Autor1 nume,Autor2 prenume,Autor2 nume,Autor3 prenume,Autor3 nume,Autor4 prenume,Autor4 nume,Titlu,Editura,An,Obs
,Raft 17,R1708,Alexandru,PALEOLOGU,,,,,,,Bunul-simt ca paradox,Cartea Romaneasca,2005,
,Raft 17,R1709,Robert,GRAVES,,,,,,,"Eu, Claudis imparat",Humanitas,2003,
,Raft 17,R1710,Mario,PUZO,,,,,,,Familia Borgia,Humanitas,2001,
,Raft 17,R1711,Stelian,TANASE,,,,,,,Racovski - Dosar secret,Polirom,2008,
,Raft 17,R1712,Toma,ROMAN Jr.,,,,,,,Omul care aduce pipi - povestile erotice ale unui jurnalist roman,Trei,2009,
,Raft 17,R1713,Silviu,DRAGOMIR,Vasile Dem.,ZAMFIRESCU,,,,,Povesti erotice romanesti,Trei,2007,
,Raft 17,R1714,Petru,POPESCU,,,,,,,Supleantul,Curtea Veche,2009,
,Raft 17,R1715,Neculai Constantin,MUNTEANU,,,,,,,Ultimii sapte ani de-acasa - un ziarist in dosarele securitatii,Curtea Veche,2007,
,Raft 17,R1716,Robert C.,TUCKER,,,,,,,Filosofie si mit la Karl Marx,Curtea Veche,2011,
,Raft 17,R1717,Milan,KUNDERA,,,,,,,Valsul de adio,Humanitas,2004,
,Raft 17,R1718,John,UPDIKE,,,,,,,"Fugi, Rabbit",Humanitas,2008,
,Raft 17,R1719,Catalin Dorian,MIHULEAC,,,,,,,Zece povestiri multilateral dezvoltate,Cartea Romaneasca,2010,
,Raft 17,R1720,Henry,MILLER,,,,,,,Sexus,Polirom,2010,
,Raft 17,R1721,Ioana,BRADEA,,,,,,,Bagau,EST,2004,
,Raft 17,R1722,Giuseppe Tomasi,di LAMPEDUSA,,,,,,,Ghepardul,Humanitas,2002,
,Raft 17,R1723,Traian,UNGUREANU,,,,,,,Olimpia in exil - O carte despre noblete si dezonoare in sport,Humanitas,2008,
,Raft 17,R1724,Traian,UNGUREANU,,,,,,,Tehnica neputintei la romani,Humanitas,2006,
